dataset,method,seed,run_tag,ablation_family,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,total_time_sec,mean_task_time_sec,max_task_time_sec,n_completed_tasks,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem_distill,42,nodistill,interaction,ablate_interaction_permuted_mnist_agem_distill_nodistill.yaml,True,True,True,True,0,1,True,completed,1969.6,196.96,225.3,10,36.659,66.5,-66.5,0.9389
permuted_mnist,agem_distill,123,nodistill,interaction,ablate_interaction_permuted_mnist_agem_distill_nodistill.yaml,True,True,True,True,0,1,True,completed,1899.1,189.91,207.7,10,36.73,66.3922,-66.3922,2.2489
permuted_mnist,agem_distill,456,nodistill,interaction,ablate_interaction_permuted_mnist_agem_distill_nodistill.yaml,True,True,True,True,0,1,True,completed,1832.8,183.28,206.9,10,36.589,66.3467,-66.3467,1.1767
permuted_mnist,der,42,nodistill,interaction,ablate_interaction_permuted_mnist_der_nodistill.yaml,True,True,True,True,0,1,True,completed,1358.1,135.81,147.6,10,31.166,72.7556,-72.7556,1.1322
permuted_mnist,der,123,nodistill,interaction,ablate_interaction_permuted_mnist_der_nodistill.yaml,True,True,True,True,0,1,True,completed,1331.1,133.11,149.7,10,32.445,71.4267,-71.4267,0.8278
permuted_mnist,der,456,nodistill,interaction,ablate_interaction_permuted_mnist_der_nodistill.yaml,True,True,True,True,0,1,True,completed,1404.5,140.45,153.8,10,30.367,73.5156,-73.5156,0.5433
permuted_mnist,er_ewc,42,noewc,interaction,ablate_interaction_permuted_mnist_er_ewc_noewc.yaml,True,True,True,True,0,1,True,completed,2395.7,239.57,352.4,10,54.627,46.7689,-46.7689,0.73
permuted_mnist,er_ewc,123,noewc,interaction,ablate_interaction_permuted_mnist_er_ewc_noewc.yaml,True,True,True,True,0,1,True,completed,2052.2,205.22,334.5,10,56.901,43.8678,-43.8678,0.7656
permuted_mnist,er_ewc,456,noewc,interaction,ablate_interaction_permuted_mnist_er_ewc_noewc.yaml,True,True,True,True,0,1,True,completed,2205.5,220.55,363.4,10,55.815,45.3689,-45.3689,1.0389
permuted_mnist,icarl,42,nonmc,interaction,ablate_interaction_permuted_mnist_icarl_nonmc.yaml,True,True,True,True,0,1,True,completed,903.3,90.33,109.8,10,45.541,57.0378,-57.0378,1.4633
permuted_mnist,icarl,123,nonmc,interaction,ablate_interaction_permuted_mnist_icarl_nonmc.yaml,True,True,True,True,0,1,True,completed,865.5,86.55,103.0,10,44.729,57.8778,-57.8778,1.3322
permuted_mnist,icarl,456,nonmc,interaction,ablate_interaction_permuted_mnist_icarl_nonmc.yaml,True,True,True,True,0,1,True,completed,898.7,89.87,114.4,10,43.143,59.55,-59.4644,1.3178
permuted_mnist,si_der,42,nosi,interaction,ablate_interaction_permuted_mnist_si_der_nosi.yaml,True,True,True,True,0,1,True,completed,1963.7,196.37,206.8,10,69.757,30.5256,-30.5256,1.1444
permuted_mnist,si_der,123,nosi,interaction,ablate_interaction_permuted_mnist_si_der_nosi.yaml,True,True,True,True,0,1,True,completed,2049.5,204.95,240.3,10,71.217,29.0222,-29.0222,1.6578
permuted_mnist,si_der,456,nosi,interaction,ablate_interaction_permuted_mnist_si_der_nosi.yaml,True,True,True,True,0,1,True,completed,1671.0,167.1,219.0,10,69.675,30.7878,-30.7878,0.7033
permuted_mnist,xder,42,norevision,interaction,ablate_interaction_permuted_mnist_xder_norevision.yaml,True,True,True,True,0,1,True,completed,920.5,92.05,101.0,10,71.739,28.2389,-28.2389,0.78
permuted_mnist,xder,123,norevision,interaction,ablate_interaction_permuted_mnist_xder_norevision.yaml,True,True,True,True,0,1,True,completed,927.9,92.79,101.6,10,71.54,28.4722,-28.4722,1.3589
permuted_mnist,xder,456,norevision,interaction,ablate_interaction_permuted_mnist_xder_norevision.yaml,True,True,True,True,0,1,True,completed,859.1,85.91,101.5,10,72.188,27.9744,-27.9744,-0.3344
permuted_mnist,agem_distill,42,resumecheck,robustness,ablate_robustness_permuted_mnist_agem_distill_resume.yaml,True,True,True,True,0,2,True,completed,1033.7,103.37,130.5,10,65.485,33.9333,-33.9333,1.2922
