dataset,ablation_family,method,run_tag,model,batch_size,num_workers,seeds_completed,mean_total_time_sec,std_total_time_sec,mean_task_time_sec,max_task_time_sec
permuted_mnist,interaction,agem_distill,nodistill,slim_resnet18,32,2,3,1900.5,68.41074477010173,190.04999999999998,225.3
permuted_mnist,interaction,der,nodistill,slim_resnet18,32,2,3,1364.5666666666666,37.124834455298746,136.45666666666668,153.8
permuted_mnist,interaction,er_ewc,noewc,slim_resnet18,32,2,3,2217.7999999999997,172.08001046025072,221.78,363.4
permuted_mnist,interaction,icarl,nonmc,slim_resnet18,32,2,3,889.1666666666666,20.6245808038208,88.91666666666667,114.4
permuted_mnist,interaction,si_der,nosi,slim_resnet18,32,2,3,1894.7333333333333,198.45116107832004,189.47333333333333,240.3
permuted_mnist,interaction,xder,norevision,slim_resnet18,32,2,3,902.5,37.76718152046826,90.25,101.6
permuted_mnist,robustness,agem_distill,resumecheck,slim_resnet18,32,2,3,1039.8,42.479759886327045,103.98,131.1
permuted_mnist,tasklen,der,ntasks10,slim_resnet18,32,2,5,1550.0,163.34145217916986,155.0,192.3
permuted_mnist,tasklen,der,ntasks5,slim_resnet18,32,2,5,658.76,35.78320835252201,131.752,149.2
permuted_mnist,tasklen,si_der,ntasks10,slim_resnet18,32,2,5,1950.4599999999998,148.8578281448445,195.046,222.5
permuted_mnist,tasklen,si_der,ntasks5,slim_resnet18,32,2,5,983.4399999999999,12.22059736674109,196.68800000000002,234.8
split_cifar10,buffer,agem_distill,buf100,slim_resnet18,32,0,5,173.82,9.93262301710883,34.763999999999996,45.3
split_cifar10,buffer,agem_distill,buf200,slim_resnet18,32,0,5,166.72,13.703539688708174,33.344,43.0
split_cifar10,buffer,agem_distill,buf500,slim_resnet18,32,0,5,159.98,6.411474089474277,31.996,42.9
split_cifar10,buffer,der,buf100,slim_resnet18,32,0,5,151.3,6.854925236645546,30.26,34.5
split_cifar10,buffer,der,buf200,slim_resnet18,32,0,5,150.35999999999999,5.3209961473393275,30.072000000000003,34.2
split_cifar10,buffer,der,buf500,slim_resnet18,32,0,5,141.74,13.651666564928982,28.348000000000003,35.5
split_cifar10,buffer,er_ewc,buf100,slim_resnet18,32,0,5,194.04000000000002,3.5104130811059866,38.808,60.0
split_cifar10,buffer,er_ewc,buf200,slim_resnet18,32,0,5,196.32,15.641355439986647,39.263999999999996,68.0
split_cifar10,buffer,er_ewc,buf500,slim_resnet18,32,0,5,185.32,18.649986595169445,37.064,70.2
split_cifar10,buffer,icarl,buf100,slim_resnet18,32,0,5,107.44000000000001,14.025975901875782,21.488,31.0
split_cifar10,buffer,icarl,buf200,slim_resnet18,32,0,5,96.56,7.366002986695027,19.312,26.8
split_cifar10,buffer,icarl,buf500,slim_resnet18,32,0,5,98.67999999999999,11.127084074455448,19.736,26.5
split_cifar10,buffer,si_der,buf100,slim_resnet18,32,0,5,216.26,6.739658745070103,43.251999999999995,60.2
split_cifar10,buffer,si_der,buf200,slim_resnet18,32,0,5,213.18,10.82182978982759,42.636,52.5
split_cifar10,buffer,si_der,buf500,slim_resnet18,32,0,5,220.28000000000003,8.080037128627554,44.056,57.4
split_cifar10,buffer,xder,buf100,slim_resnet18,32,0,5,125.82000000000001,7.467061001491821,25.163999999999998,30.5
split_cifar10,buffer,xder,buf200,slim_resnet18,32,0,5,127.6,10.214940038982123,25.52,35.9
split_cifar10,buffer,xder,buf500,slim_resnet18,32,0,5,125.16,4.270011709585815,25.032,31.5
split_cifar10,interaction,agem_distill,nodistill,slim_resnet18,32,0,3,94.46666666666665,12.96238146843909,18.893333333333334,23.2
split_cifar10,interaction,der,nodistill,slim_resnet18,32,0,3,77.76666666666667,12.50013333262223,15.553333333333333,18.3
split_cifar10,interaction,er_ewc,noewc,slim_resnet18,32,0,3,96.03333333333335,2.6312227829154504,19.206666666666667,27.8
split_cifar10,interaction,icarl,nonmc,slim_resnet18,32,0,3,67.7,16.541160781517117,13.540000000000001,17.1
split_cifar10,interaction,si_der,nosi,slim_resnet18,32,0,3,132.0,8.507055894961544,26.400000000000002,29.1
split_cifar10,interaction,xder,norevision,slim_resnet18,32,0,3,74.8,8.59999999999999,14.959999999999999,18.1
split_cifar10,lambda,er_ewc,lambda1,slim_resnet18,32,0,5,226.2,11.095043938624134,45.239999999999995,82.3
split_cifar10,lambda,er_ewc,lambda10,slim_resnet18,32,0,5,208.7,13.668760002282582,41.739999999999995,73.8
split_cifar10,lambda,er_ewc,lambda100,slim_resnet18,32,0,5,216.5,11.017259187293362,43.3,77.1
split_cifar10,lambda,er_ewc,lambda1000,slim_resnet18,32,0,5,204.88000000000002,19.849609567948686,40.976,77.1
split_cifar10,lambda,ewc,lambda1,slim_resnet18,32,0,5,186.16,19.342259433685605,37.232,77.9
split_cifar10,lambda,ewc,lambda10,slim_resnet18,32,0,5,191.14000000000001,12.39043986305571,38.228,77.1
split_cifar10,lambda,ewc,lambda100,slim_resnet18,32,0,5,175.52,16.94452714005322,35.104,64.1
split_cifar10,lambda,ewc,lambda1000,slim_resnet18,32,0,5,179.8,7.237748268626093,35.96,74.8
split_cifar10,robustness,icarl,resumecheck,slim_resnet18,32,0,3,74.7,7.07884171316184,14.94,18.9
split_cifar10,robustness,joint_training,resumecheck,slim_resnet18,32,0,3,54.23333333333333,4.65008960487143,10.846666666666666,13.2
