dataset,method,seed,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem,42,permuted_mnist_agem.yaml,True,True,True,True,0,3,True,completed,37.567,65.5422,-65.5422,1.4344
permuted_mnist,agem,123,permuted_mnist_agem.yaml,True,True,True,True,0,2,True,completed,36.73,66.3922,-66.3922,2.2489
permuted_mnist,agem,456,permuted_mnist_agem.yaml,True,True,True,True,0,2,True,completed,36.589,66.3467,-66.3467,1.1767
permuted_mnist,agem,789,permuted_mnist_agem.yaml,True,True,True,True,0,2,True,completed,34.072,69.2556,-69.2556,1.3711
permuted_mnist,agem,1024,permuted_mnist_agem.yaml,True,True,True,True,0,2,True,completed,35.865,66.9733,-66.9733,1.5989
permuted_mnist,agem_distill,42,permuted_mnist_agem_distill.yaml,True,True,True,True,0,2,True,completed,66.652,32.7011,-32.7011,1.9
permuted_mnist,agem_distill,123,permuted_mnist_agem_distill.yaml,True,True,True,True,0,2,True,completed,63.097,36.1733,-33.7967,3.2033
permuted_mnist,agem_distill,456,permuted_mnist_agem_distill.yaml,True,True,True,True,0,2,True,completed,62.192,37.5622,-37.5456,1.7333
permuted_mnist,agem_distill,789,permuted_mnist_agem_distill.yaml,True,True,True,True,0,2,True,completed,57.1,43.49,-43.49,2.6
permuted_mnist,agem_distill,1024,permuted_mnist_agem_distill.yaml,True,True,True,True,0,2,True,completed,63.768,35.1378,-35.1378,2.8056
permuted_mnist,der,42,permuted_mnist_der.yaml,True,True,True,True,0,2,True,completed,69.757,30.5256,-30.5256,1.1444
permuted_mnist,der,123,permuted_mnist_der.yaml,True,True,True,True,0,2,True,completed,71.217,29.0222,-29.0222,1.6578
permuted_mnist,der,456,permuted_mnist_der.yaml,True,True,True,True,0,2,True,completed,69.675,30.7878,-30.7878,0.7033
permuted_mnist,der,789,permuted_mnist_der.yaml,True,True,True,True,0,2,True,completed,71.02,29.1367,-29.1367,1.5633
permuted_mnist,der,1024,permuted_mnist_der.yaml,True,True,True,True,0,2,True,completed,73.144,26.7511,-26.7511,0.5267
permuted_mnist,er_ewc,42,permuted_mnist_er_ewc.yaml,True,True,True,True,0,2,True,completed,56.813,44.2544,-44.2544,0.9411
permuted_mnist,er_ewc,123,permuted_mnist_er_ewc.yaml,True,True,True,True,0,2,True,completed,53.245,47.1767,-47.1767,0.4311
permuted_mnist,er_ewc,456,permuted_mnist_er_ewc.yaml,True,True,True,True,0,2,True,completed,59.329,41.5922,-41.5922,1.6444
permuted_mnist,er_ewc,789,permuted_mnist_er_ewc.yaml,True,True,True,True,0,2,True,completed,53.085,47.5033,-47.5033,1.85
permuted_mnist,er_ewc,1024,permuted_mnist_er_ewc.yaml,True,True,True,True,0,2,True,completed,59.115,41.4267,-41.4267,0.93
permuted_mnist,ewc,42,permuted_mnist_ewc.yaml,True,True,True,True,0,2,True,completed,30.011,73.5678,-73.5678,-0.0478
permuted_mnist,ewc,123,permuted_mnist_ewc.yaml,True,True,True,True,0,2,True,completed,27.85,76.3667,-76.3667,2.4711
permuted_mnist,ewc,456,permuted_mnist_ewc.yaml,True,True,True,True,0,2,True,completed,29.288,74.5611,-74.5611,-0.51
permuted_mnist,ewc,789,permuted_mnist_ewc.yaml,True,True,True,True,0,2,True,completed,28.062,76.0533,-76.0533,0.6
permuted_mnist,ewc,1024,permuted_mnist_ewc.yaml,True,True,True,True,0,2,True,completed,28.908,74.5633,-74.5633,1.0378
permuted_mnist,fine_tune,42,permuted_mnist_finetune.yaml,True,True,True,True,0,5,True,completed,58.9633,55.235,-55.235,1.535
permuted_mnist,fine_tune,123,permuted_mnist_finetune.yaml,True,True,True,True,0,2,True,completed,31.514,72.5556,-72.5556,0.54
permuted_mnist,fine_tune,456,permuted_mnist_finetune.yaml,True,True,True,True,0,2,True,completed,29.192,74.7356,-74.7356,0.2367
permuted_mnist,fine_tune,789,permuted_mnist_finetune.yaml,True,True,True,True,0,2,True,completed,29.551,74.4322,-74.4322,1.57
permuted_mnist,fine_tune,1024,permuted_mnist_finetune.yaml,True,True,True,True,0,2,True,completed,28.582,75.4644,-75.4644,0.1489
permuted_mnist,icarl,42,permuted_mnist_icarl.yaml,True,True,True,True,0,2,True,completed,21.759,8.5967,-7.6844,0.7444
permuted_mnist,icarl,123,permuted_mnist_icarl.yaml,True,True,True,True,0,2,True,completed,23.789,10.4733,-8.4367,-0.4967
permuted_mnist,icarl,456,permuted_mnist_icarl.yaml,True,True,True,True,0,2,True,completed,19.605,6.16,-5.2556,0.1878
permuted_mnist,icarl,789,permuted_mnist_icarl.yaml,True,True,True,True,0,2,True,completed,17.517,0.9344,-0.6456,0.0333
permuted_mnist,icarl,1024,permuted_mnist_icarl.yaml,True,True,True,True,0,2,True,completed,18.897,2.2311,-0.8467,-0.7133
permuted_mnist,joint_training,42,permuted_mnist_joint.yaml,True,True,True,True,0,2,True,completed,92.732,3.9011,-3.8111,0.5878
permuted_mnist,joint_training,123,permuted_mnist_joint.yaml,True,True,True,True,0,2,True,completed,95.869,0.64,0.71,1.5644
permuted_mnist,joint_training,456,permuted_mnist_joint.yaml,True,True,True,True,0,2,True,completed,96.084,0.4267,0.1611,1.1167
permuted_mnist,joint_training,789,permuted_mnist_joint.yaml,True,True,True,True,0,2,True,completed,95.993,0.5967,-0.02,1.4956
permuted_mnist,joint_training,1024,permuted_mnist_joint.yaml,True,True,True,True,0,2,True,completed,96.191,0.3889,0.19,1.3133
permuted_mnist,lwf,42,permuted_mnist_lwf.yaml,True,True,True,True,0,2,True,completed,34.479,68.9344,-68.9344,1.1111
permuted_mnist,lwf,123,permuted_mnist_lwf.yaml,True,True,True,True,0,2,True,completed,35.057,67.6944,-67.6944,0.5356
permuted_mnist,lwf,456,permuted_mnist_lwf.yaml,True,True,True,True,0,2,True,completed,33.15,70.4456,-70.4456,0.6233
permuted_mnist,lwf,789,permuted_mnist_lwf.yaml,True,True,True,True,0,2,True,completed,31.44,72.15,-72.15,1.3511
permuted_mnist,lwf,1024,permuted_mnist_lwf.yaml,True,True,True,True,0,2,True,completed,30.717,73.1189,-73.1189,0.8656
permuted_mnist,progress_compress,42,permuted_mnist_progress_compress.yaml,True,True,True,True,0,2,True,completed,29.379,75.0067,-75.0067,1.08
permuted_mnist,progress_compress,123,permuted_mnist_progress_compress.yaml,True,True,True,True,0,2,True,completed,28.798,75.6544,-75.6544,1.14
permuted_mnist,progress_compress,456,permuted_mnist_progress_compress.yaml,True,True,True,True,0,2,True,completed,28.233,76.1544,-76.1544,1.63
permuted_mnist,progress_compress,789,permuted_mnist_progress_compress.yaml,True,True,True,True,0,2,True,completed,27.123,77.1744,-77.1744,1.5467
permuted_mnist,progress_compress,1024,permuted_mnist_progress_compress.yaml,True,True,True,True,0,2,True,completed,28.347,76.0278,-76.0278,0.7744
permuted_mnist,si_der,42,permuted_mnist_si_der.yaml,True,True,True,True,0,2,True,completed,70.746,29.3778,-29.3778,1.1433
permuted_mnist,si_der,123,permuted_mnist_si_der.yaml,True,True,True,True,0,2,True,completed,72.82,27.1589,-27.1589,1.5
permuted_mnist,si_der,456,permuted_mnist_si_der.yaml,True,True,True,True,0,2,True,completed,70.309,29.9544,-29.9544,0.5522
permuted_mnist,si_der,789,permuted_mnist_si_der.yaml,True,True,True,True,0,2,True,completed,68.646,31.6756,-31.6756,1.5244
permuted_mnist,si_der,1024,permuted_mnist_si_der.yaml,True,True,True,True,0,2,True,completed,71.808,28.1544,-28.1544,0.2444
permuted_mnist,xder,42,permuted_mnist_xder.yaml,True,True,True,True,0,2,True,completed,70.795,29.2833,-29.2833,0.87
permuted_mnist,xder,123,permuted_mnist_xder.yaml,True,True,True,True,0,2,True,completed,71.348,28.7944,-28.7944,0.3822
permuted_mnist,xder,456,permuted_mnist_xder.yaml,True,True,True,True,0,2,True,completed,69.445,30.9856,-30.9856,0.9778
permuted_mnist,xder,789,permuted_mnist_xder.yaml,True,True,True,True,0,2,True,completed,72.168,27.8367,-27.8367,1.8856
permuted_mnist,xder,1024,permuted_mnist_xder.yaml,True,True,True,True,0,2,True,completed,72.116,27.9589,-27.9589,0.3433
split_cifar100,agem,42,split_cifar100_agem.yaml,True,True,True,True,0,1,True,completed,2.01,40.9158,-40.9158,-2.7345
split_cifar100,agem,123,split_cifar100_agem.yaml,True,True,True,True,0,1,True,completed,2.37,41.1053,-41.1053,-2.7345
split_cifar100,agem,456,split_cifar100_agem.yaml,True,True,True,True,0,1,True,completed,1.53,35.6316,-35.6316,-2.7345
split_cifar100,agem,789,split_cifar100_agem.yaml,True,True,True,True,0,1,True,completed,2.24,39.3158,-39.3158,-2.7345
split_cifar100,agem,1024,split_cifar100_agem.yaml,True,True,True,True,0,1,True,completed,2.83,45.3895,-45.3895,-2.7345
split_cifar100,agem_distill,42,split_cifar100_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.86,45.2737,-45.2737,-2.7345
split_cifar100,agem_distill,123,split_cifar100_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.53,48.1474,-48.1474,-2.7345
split_cifar100,agem_distill,456,split_cifar100_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.41,43.4105,-43.4105,-2.7345
split_cifar100,agem_distill,789,split_cifar100_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.97,47.6316,-47.6316,-2.7345
split_cifar100,agem_distill,1024,split_cifar100_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.84,48.2105,-48.2105,-2.7345
split_cifar100,der,42,split_cifar100_der.yaml,True,True,True,True,0,1,True,completed,2.86,42.5684,-42.5684,-2.7239
split_cifar100,der,123,split_cifar100_der.yaml,True,True,True,True,0,1,True,completed,2.76,45.7474,-45.7474,-2.7345
split_cifar100,der,456,split_cifar100_der.yaml,True,True,True,True,0,1,True,completed,2.96,45.5158,-45.5158,-2.7345
split_cifar100,der,789,split_cifar100_der.yaml,True,True,True,True,0,1,True,completed,2.69,47.4211,-47.4211,-2.7134
split_cifar100,der,1024,split_cifar100_der.yaml,True,True,True,True,0,1,True,completed,2.13,42.4947,-42.4947,-2.5766
split_cifar100,er_ewc,42,split_cifar100_er_ewc.yaml,True,True,True,True,0,1,True,completed,4.91,56.3789,-56.3789,-2.7345
split_cifar100,er_ewc,123,split_cifar100_er_ewc.yaml,True,True,True,True,0,1,True,completed,4.6,61.2316,-61.2316,-2.7345
split_cifar100,er_ewc,456,split_cifar100_er_ewc.yaml,True,True,True,True,0,1,True,completed,4.53,56.9158,-56.9158,-2.7345
split_cifar100,er_ewc,789,split_cifar100_er_ewc.yaml,True,True,True,True,0,1,True,completed,4.2,56.9263,-56.9263,-2.7345
split_cifar100,er_ewc,1024,split_cifar100_er_ewc.yaml,True,True,True,True,0,1,True,completed,4.16,59.9263,-59.9263,-2.7134
split_cifar100,ewc,42,split_cifar100_ewc.yaml,True,True,True,True,0,1,True,completed,1.93,32.3474,-32.3474,-2.7345
split_cifar100,ewc,123,split_cifar100_ewc.yaml,True,True,True,True,0,1,True,completed,2.51,38.3579,-38.3579,-2.7345
split_cifar100,ewc,456,split_cifar100_ewc.yaml,True,True,True,True,0,1,True,completed,2.07,36.5895,-36.5895,-2.7345
split_cifar100,ewc,789,split_cifar100_ewc.yaml,True,True,True,True,0,1,True,completed,1.69,32.3263,-32.3263,-2.7345
split_cifar100,ewc,1024,split_cifar100_ewc.yaml,True,True,True,True,0,1,True,completed,2.05,32.5263,-32.5263,-2.7345
split_cifar100,fine_tune,42,split_cifar100_finetune.yaml,True,True,True,True,0,1,True,completed,1.7,34.3474,-34.3474,-2.7345
split_cifar100,fine_tune,123,split_cifar100_finetune.yaml,True,True,True,True,0,1,True,completed,2.28,37.4526,-37.4526,-2.7345
split_cifar100,fine_tune,456,split_cifar100_finetune.yaml,True,True,True,True,0,1,True,completed,2.27,41.1053,-41.1053,-2.7345
split_cifar100,fine_tune,789,split_cifar100_finetune.yaml,True,True,True,True,0,1,True,completed,2.44,42.4842,-42.4842,-2.7345
split_cifar100,fine_tune,1024,split_cifar100_finetune.yaml,True,True,True,True,0,1,True,completed,1.96,39.2105,-39.2105,-2.7345
split_cifar100,icarl,42,split_cifar100_icarl.yaml,True,True,True,True,0,1,True,completed,4.65,11.1684,-9.4842,-2.7345
split_cifar100,icarl,123,split_cifar100_icarl.yaml,True,True,True,True,0,1,True,completed,4.68,13.0526,-10.5158,-2.7345
split_cifar100,icarl,456,split_cifar100_icarl.yaml,True,True,True,True,0,1,True,completed,3.61,10.6,-9.4,-2.7345
split_cifar100,icarl,789,split_cifar100_icarl.yaml,True,True,True,True,0,1,True,completed,5.29,10.8,-8.2947,-2.7345
split_cifar100,icarl,1024,split_cifar100_icarl.yaml,True,True,True,True,0,1,True,completed,3.64,10.5263,-8.5579,-2.7345
split_cifar100,joint_training,42,split_cifar100_joint.yaml,True,True,True,True,0,1,True,completed,47.97,5.5368,17.3368,-2.7345
split_cifar100,joint_training,123,split_cifar100_joint.yaml,True,True,True,True,0,1,True,completed,46.7,6.6842,9.7789,-2.7345
split_cifar100,joint_training,456,split_cifar100_joint.yaml,True,True,True,True,0,1,True,completed,48.1,5.2526,16.1474,-2.7345
split_cifar100,joint_training,789,split_cifar100_joint.yaml,True,True,True,True,0,1,True,completed,45.42,5.2737,12.5789,-2.7345
split_cifar100,joint_training,1024,split_cifar100_joint.yaml,True,True,True,True,0,1,True,completed,45.54,7.7579,10.9158,-2.7345
split_cifar100,lwf,42,split_cifar100_lwf.yaml,True,True,True,True,0,1,True,completed,2.8,44.0737,-44.0737,-2.7345
split_cifar100,lwf,123,split_cifar100_lwf.yaml,True,True,True,True,0,1,True,completed,2.39,43.2421,-43.2421,-2.7345
split_cifar100,lwf,456,split_cifar100_lwf.yaml,True,True,True,True,0,1,True,completed,2.34,39.0105,-39.0105,-2.7345
split_cifar100,lwf,789,split_cifar100_lwf.yaml,True,True,True,True,0,1,True,completed,2.87,41.7368,-41.7368,-2.7345
split_cifar100,lwf,1024,split_cifar100_lwf.yaml,True,True,True,True,0,1,True,completed,2.64,42.3895,-42.3895,-2.7345
split_cifar100,progress_compress,42,split_cifar100_progress_compress.yaml,True,True,True,True,0,1,True,completed,3.45,51.1263,-51.1263,-2.7345
split_cifar100,progress_compress,123,split_cifar100_progress_compress.yaml,True,True,True,True,0,1,True,completed,3.92,53.6737,-53.6737,-2.7345
split_cifar100,progress_compress,456,split_cifar100_progress_compress.yaml,True,True,True,True,0,1,True,completed,3.46,51.7368,-51.7368,-2.6924
split_cifar100,progress_compress,789,split_cifar100_progress_compress.yaml,True,True,True,True,0,1,True,completed,3.63,52.8632,-52.8632,-2.7134
split_cifar100,progress_compress,1024,split_cifar100_progress_compress.yaml,True,True,True,True,0,1,True,completed,3.3,54.3579,-54.3579,-2.7345
split_cifar100,si_der,42,split_cifar100_si_der.yaml,True,True,True,True,0,1,True,completed,2.76,42.1579,-42.1579,-2.7239
split_cifar100,si_der,123,split_cifar100_si_der.yaml,True,True,True,True,0,1,True,completed,3.01,46.7684,-46.7684,-2.7345
split_cifar100,si_der,456,split_cifar100_si_der.yaml,True,True,True,True,0,1,True,completed,3.07,44.7895,-44.7895,-2.7345
split_cifar100,si_der,789,split_cifar100_si_der.yaml,True,True,True,True,0,1,True,completed,2.67,45.5895,-45.5895,-2.7134
split_cifar100,si_der,1024,split_cifar100_si_der.yaml,True,True,True,True,0,1,True,completed,2.8,45.6,-45.6,-2.5766
split_cifar100,xder,42,split_cifar100_xder.yaml,True,True,True,True,0,1,True,completed,1.25,39.2105,-39.2105,-2.7345
split_cifar100,xder,123,split_cifar100_xder.yaml,True,True,True,True,0,1,True,completed,2.49,45.0842,-45.0842,-2.7345
split_cifar100,xder,456,split_cifar100_xder.yaml,True,True,True,True,0,1,True,completed,2.28,48.7895,-48.7895,-2.7345
split_cifar100,xder,789,split_cifar100_xder.yaml,True,True,True,True,0,1,True,completed,3.6,56.4,-56.4,-2.7134
split_cifar100,xder,1024,split_cifar100_xder.yaml,True,True,True,True,0,1,True,completed,2.33,36.1474,-36.1474,-2.7239
split_cifar10,agem,42,split_cifar10_agem.yaml,True,True,True,True,0,1,True,completed,16.07,76.125,-76.125,-16.0042
split_cifar10,agem,123,split_cifar10_agem.yaml,True,True,True,True,0,1,True,completed,17.25,80.3125,-80.3125,-15.9917
split_cifar10,agem,456,split_cifar10_agem.yaml,True,True,True,True,0,1,True,completed,16.2,81.875,-81.875,-14.7292
split_cifar10,agem,789,split_cifar10_agem.yaml,True,True,True,True,0,1,True,completed,14.42,78.4375,-78.4375,-14.8167
split_cifar10,agem,1024,split_cifar10_agem.yaml,True,True,True,True,0,1,True,completed,15.95,80.0,-80.0,-15.7792
split_cifar10,agem_distill,42,split_cifar10_agem_distill.yaml,True,True,True,True,0,1,True,completed,17.17,77.2125,-77.2125,-16.0042
split_cifar10,agem_distill,123,split_cifar10_agem_distill.yaml,True,True,True,True,0,1,True,completed,16.37,80.475,-80.475,-15.9917
split_cifar10,agem_distill,456,split_cifar10_agem_distill.yaml,True,True,True,True,0,1,True,completed,17.43,81.6,-81.6,-14.7292
split_cifar10,agem_distill,789,split_cifar10_agem_distill.yaml,True,True,True,True,0,1,True,completed,16.66,79.7625,-79.7625,-14.8167
split_cifar10,agem_distill,1024,split_cifar10_agem_distill.yaml,True,True,True,True,0,1,True,completed,17.28,81.2,-81.2,-15.7792
split_cifar10,der,42,split_cifar10_der.yaml,True,True,True,True,0,1,True,completed,15.85,78.5375,-78.5375,-16.0417
split_cifar10,der,123,split_cifar10_der.yaml,True,True,True,True,0,1,True,completed,17.11,79.4875,-79.4875,-16.0417
split_cifar10,der,456,split_cifar10_der.yaml,True,True,True,True,0,1,True,completed,16.31,81.9125,-81.9125,-9.2167
split_cifar10,der,789,split_cifar10_der.yaml,True,True,True,True,0,1,True,completed,16.88,80.2,-80.2,-11.7667
split_cifar10,der,1024,split_cifar10_der.yaml,True,True,True,True,0,1,True,completed,16.97,81.1875,-81.1875,-12.6167
split_cifar10,er_ewc,42,split_cifar10_er_ewc.yaml,True,True,True,True,0,1,True,completed,22.94,73.0625,-73.0625,-15.5167
split_cifar10,er_ewc,123,split_cifar10_er_ewc.yaml,True,True,True,True,0,1,True,completed,23.6,73.325,-73.325,-15.5792
split_cifar10,er_ewc,456,split_cifar10_er_ewc.yaml,True,True,True,True,0,1,True,completed,24.67,71.6375,-71.6375,-15.7417
split_cifar10,er_ewc,789,split_cifar10_er_ewc.yaml,True,True,True,True,0,1,True,completed,22.03,76.975,-76.975,-14.2042
split_cifar10,er_ewc,1024,split_cifar10_er_ewc.yaml,True,True,True,True,0,1,True,completed,24.37,70.8125,-70.8125,-15.4792
split_cifar10,ewc,42,split_cifar10_ewc.yaml,True,True,True,True,0,1,True,completed,16.59,78.475,-78.475,-16.0042
