method,average_rank,dataset_count,friedman_statistic,friedman_p_value
joint_training,1.0,4,28.115384615384613,0.0031081521734105987
er_ewc,3.25,4,28.115384615384613,0.0031081521734105987
xder,5.0,4,28.115384615384613,0.0031081521734105987
icarl,5.0,4,28.115384615384613,0.0031081521734105987
si_der,5.5,4,28.115384615384613,0.0031081521734105987
progress_compress,6.0,4,28.115384615384613,0.0031081521734105987
agem_distill,6.0,4,28.115384615384613,0.0031081521734105987
der,7.0,4,28.115384615384613,0.0031081521734105987
agem,9.5,4,28.115384615384613,0.0031081521734105987
ewc,9.5,4,28.115384615384613,0.0031081521734105987
lwf,10.0,4,28.115384615384613,0.0031081521734105987
fine_tune,10.25,4,28.115384615384613,0.0031081521734105987
