dataset,method,seed,run_name,config_name,model,n_epochs,batch_size,num_workers,fp16,buffer_size,total_time_sec,log_starts,completed,caveat_note,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem,42,permuted_mnist_agem_seed42,permuted_mnist_agem.yaml,slim_resnet18,1,32,2,False,200,1569.0,3,True,Run log contains restarts; final metrics were read from the last completed metrics block.,37.567,65.5422,-65.5422,1.4344
permuted_mnist,agem,123,permuted_mnist_agem_seed123,permuted_mnist_agem.yaml,slim_resnet18,1,32,2,False,200,1721.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,36.73,66.3922,-66.3922,2.2489
permuted_mnist,agem,456,permuted_mnist_agem_seed456,permuted_mnist_agem.yaml,slim_resnet18,1,32,2,False,200,1769.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,36.589,66.3467,-66.3467,1.1767
permuted_mnist,agem,789,permuted_mnist_agem_seed789,permuted_mnist_agem.yaml,slim_resnet18,1,32,2,False,200,1786.6,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,34.072,69.2556,-69.2556,1.3711
permuted_mnist,agem,1024,permuted_mnist_agem_seed1024,permuted_mnist_agem.yaml,slim_resnet18,1,32,2,False,200,1563.0,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,35.865,66.9733,-66.9733,1.5989
permuted_mnist,agem_distill,42,permuted_mnist_agem_distill_seed42,permuted_mnist_agem_distill.yaml,slim_resnet18,1,32,2,False,200,1680.3,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,66.652,32.7011,-32.7011,1.9
permuted_mnist,agem_distill,123,permuted_mnist_agem_distill_seed123,permuted_mnist_agem_distill.yaml,slim_resnet18,1,32,2,False,200,1685.5,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,63.097,36.1733,-33.7967,3.2033
permuted_mnist,agem_distill,456,permuted_mnist_agem_distill_seed456,permuted_mnist_agem_distill.yaml,slim_resnet18,1,32,2,False,200,1666.2,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,62.192,37.5622,-37.5456,1.7333
permuted_mnist,agem_distill,789,permuted_mnist_agem_distill_seed789,permuted_mnist_agem_distill.yaml,slim_resnet18,1,32,2,False,200,1750.6,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,57.1,43.49,-43.49,2.6
permuted_mnist,agem_distill,1024,permuted_mnist_agem_distill_seed1024,permuted_mnist_agem_distill.yaml,slim_resnet18,1,32,2,False,200,1881.8,2,True,Run log contains restarts; final metrics were read from the last completed metrics block.,63.768,35.1378,-35.1378,2.8056
