dataset,method,metric,mean,std
permuted_mnist,fine_tune,avg_accuracy,35.56046,13.128561943640285
permuted_mnist,fine_tune,forgetting,70.48456,8.59203549736615
permuted_mnist,fine_tune,backward_transfer,-70.48456,8.59203549736615
permuted_mnist,fine_tune,forward_transfer,0.80612,0.6967380835005361
permuted_mnist,joint_training,avg_accuracy,95.3738,1.4815480754940098
permuted_mnist,joint_training,forgetting,1.19068,1.518959667667315
permuted_mnist,joint_training,backward_transfer,-0.554,1.8409546721741956
permuted_mnist,joint_training,forward_transfer,1.21556,0.3916378339741961
permuted_mnist,ewc,avg_accuracy,28.8238,0.8889095567041674
permuted_mnist,ewc,forgetting,75.02243999999999,1.1628982062072264
permuted_mnist,ewc,backward_transfer,-75.02243999999999,1.1628982062072264
permuted_mnist,ewc,forward_transfer,0.71022,1.1493135612181733
permuted_mnist,agem,avg_accuracy,36.1646,1.3167434450188062
permuted_mnist,agem,forgetting,66.902,1.4108354634754567
permuted_mnist,agem,backward_transfer,-66.902,1.4108354634754567
permuted_mnist,agem,forward_transfer,1.566,0.41057699643306855
permuted_mnist,lwf,avg_accuracy,32.968599999999995,1.8762961653214576
permuted_mnist,lwf,forgetting,70.46866,2.2305649683432223
permuted_mnist,lwf,backward_transfer,-70.46866,2.2305649683432223
permuted_mnist,lwf,forward_transfer,0.89734,0.33858257929196534
permuted_mnist,der,avg_accuracy,70.9626,1.4087144139249843
permuted_mnist,der,forgetting,29.24468,1.6047642839370524
permuted_mnist,der,backward_transfer,-29.24468,1.6047642839370524
permuted_mnist,der,forward_transfer,1.1191,0.5029857900577311
permuted_mnist,xder,avg_accuracy,71.1744,1.1223588107196447
permuted_mnist,xder,forgetting,28.971780000000003,1.2745893326872004
permuted_mnist,xder,backward_transfer,-28.971780000000003,1.2745893326872004
permuted_mnist,xder,forward_transfer,0.89178,0.6237094852573591
permuted_mnist,icarl,avg_accuracy,20.3134,2.474743784717926
permuted_mnist,icarl,forgetting,5.6791,4.065983592564042
permuted_mnist,icarl,backward_transfer,-4.5738,3.6872994745477343
permuted_mnist,icarl,forward_transfer,-0.04890000000000001,0.5775077531947082
permuted_mnist,er_ewc,avg_accuracy,56.3174,3.0426128245309174
permuted_mnist,er_ewc,forgetting,44.39066,2.9191415986553317
permuted_mnist,er_ewc,backward_transfer,-44.39066,2.9191415986553317
permuted_mnist,er_ewc,forward_transfer,1.1593200000000001,0.5794077726437574
permuted_mnist,progress_compress,avg_accuracy,28.375999999999998,0.8329753897925197
permuted_mnist,progress_compress,forgetting,76.00354,0.7921251719267667
permuted_mnist,progress_compress,backward_transfer,-76.00354,0.7921251719267667
permuted_mnist,progress_compress,forward_transfer,1.23422,0.35298059720046937
permuted_mnist,agem_distill,avg_accuracy,62.561800000000005,3.479910372409036
permuted_mnist,agem_distill,forgetting,37.012879999999996,4.033209091653943
permuted_mnist,agem_distill,backward_transfer,-36.53424,4.287848481814627
permuted_mnist,agem_distill,forward_transfer,2.44844,0.6189828293256607
permuted_mnist,si_der,avg_accuracy,70.86580000000001,1.5778568376123334
permuted_mnist,si_der,forgetting,29.26422,1.7297452910761169
permuted_mnist,si_der,backward_transfer,-29.26422,1.7297452910761169
permuted_mnist,si_der,forward_transfer,0.99286,0.5737446191468814
split_cifar10,fine_tune,avg_accuracy,15.862,0.5988488957992666
split_cifar10,fine_tune,forgetting,78.6075,2.40061190116187
split_cifar10,fine_tune,backward_transfer,-78.6075,2.40061190116187
split_cifar10,fine_tune,forward_transfer,-15.4642,0.6380757204282258
split_cifar10,joint_training,avg_accuracy,63.708000000000006,1.9211767227405163
split_cifar10,joint_training,forgetting,10.9575,3.955095605671246
split_cifar10,joint_training,backward_transfer,-7.4275,5.330465211874101
split_cifar10,joint_training,forward_transfer,-15.546700000000001,0.3296067732920552
split_cifar10,ewc,avg_accuracy,16.894,0.38630298989264783
split_cifar10,ewc,forgetting,79.025,2.4723628627286875
split_cifar10,ewc,backward_transfer,-79.025,2.4723628627286875
split_cifar10,ewc,forward_transfer,-15.4642,0.6380757204282258
split_cifar10,agem,avg_accuracy,15.978,1.0129017721378522
split_cifar10,agem,forgetting,79.35,2.1770285080816008
split_cifar10,agem,backward_transfer,-79.35,2.1770285080816008
split_cifar10,agem,forward_transfer,-15.4642,0.6380757204282258
split_cifar10,lwf,avg_accuracy,15.931999999999999,0.5591690263238841
split_cifar10,lwf,forgetting,78.2675,2.71219180276765
split_cifar10,lwf,backward_transfer,-78.2675,2.71219180276765
split_cifar10,lwf,forward_transfer,-15.4642,0.6380757204282258
split_cifar10,der,avg_accuracy,16.624000000000002,0.5289423409030515
split_cifar10,der,forgetting,80.265,1.3377453046077228
split_cifar10,der,backward_transfer,-80.265,1.3377453046077228
split_cifar10,der,forward_transfer,-13.1367,2.932223985305351
split_cifar10,xder,avg_accuracy,21.216,1.306303946254468
split_cifar10,xder,forgetting,74.1875,3.919950972269936
split_cifar10,xder,backward_transfer,-74.1875,3.919950972269936
split_cifar10,xder,forward_transfer,-14.1567,1.8445527913291058
split_cifar10,icarl,avg_accuracy,27.248,1.50018998796819
split_cifar10,icarl,forgetting,39.754999999999995,2.550775004777959
split_cifar10,icarl,backward_transfer,-39.754999999999995,2.550775004777959
split_cifar10,icarl,forward_transfer,-16.0417,0.0
split_cifar10,er_ewc,avg_accuracy,23.522000000000002,1.0732986536840525
split_cifar10,er_ewc,forgetting,73.1625,2.367471620738036
split_cifar10,er_ewc,backward_transfer,-73.1625,2.367471620738036
split_cifar10,er_ewc,forward_transfer,-15.3042,0.6230594875290802
split_cifar10,progress_compress,avg_accuracy,17.758000000000003,0.45680411556815187
split_cifar10,progress_compress,forgetting,80.16749999999999,1.071199677931242
split_cifar10,progress_compress,backward_transfer,-80.16749999999999,1.071199677931242
split_cifar10,progress_compress,forward_transfer,-13.9442,2.5669230120905455
split_cifar10,agem_distill,avg_accuracy,16.982,0.44807365465958804
split_cifar10,agem_distill,forgetting,80.05,1.7349126418929526
split_cifar10,agem_distill,backward_transfer,-80.05,1.7349126418929526
split_cifar10,agem_distill,forward_transfer,-15.4642,0.6380757204282258
split_cifar10,si_der,avg_accuracy,17.003999999999998,0.5286113884509103
split_cifar10,si_der,forgetting,80.1225,1.3608763261222476
split_cifar10,si_der,backward_transfer,-80.1225,1.3608763261222476
split_cifar10,si_der,forward_transfer,-13.1367,2.932223985305351
split_cifar100,fine_tune,avg_accuracy,2.13,0.2966479394838266
split_cifar100,fine_tune,forgetting,38.92,3.1869021596214715
split_cifar100,fine_tune,backward_transfer,-38.92,3.1869021596214715
split_cifar100,fine_tune,forward_transfer,-2.7345,0.0
split_cifar100,joint_training,avg_accuracy,46.746,1.2792888649558392
split_cifar100,joint_training,forgetting,6.10104,1.0963541093095788
split_cifar100,joint_training,backward_transfer,13.351560000000001,3.278440516922642
split_cifar100,joint_training,forward_transfer,-2.7345,0.0
split_cifar100,ewc,avg_accuracy,2.05,0.2983286778035259
split_cifar100,ewc,forgetting,34.42948,2.8495037922417312
split_cifar100,ewc,backward_transfer,-34.42948,2.8495037922417312
split_cifar100,ewc,forward_transfer,-2.7345,0.0
split_cifar100,agem,avg_accuracy,2.196,0.4775772188871659
split_cifar100,agem,forgetting,40.4716,3.519449650868724
split_cifar100,agem,backward_transfer,-40.4716,3.519449650868724
split_cifar100,agem,forward_transfer,-2.7345,0.0
split_cifar100,lwf,avg_accuracy,2.6079999999999997,0.23763417262675
split_cifar100,lwf,forgetting,42.090520000000005,1.933918915570143
split_cifar100,lwf,backward_transfer,-42.090520000000005,1.933918915570143
split_cifar100,lwf,forward_transfer,-2.7345,0.0
