dataset,method,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,agem_distill,42,25.93,33.75,-33.75,-16.0417
split_cifar10,agem_distill,123,27.84,29.175,-29.175,-14.8417
split_cifar10,agem_distill,456,25.14,33.1625,-33.1625,-15.7542
split_cifar10,der,42,16.13,80.2,-80.2,-15.3167
split_cifar10,der,123,16.55,79.8,-79.8,-15.2917
split_cifar10,der,456,16.02,80.175,-80.175,-15.2042
split_cifar10,er_ewc,42,24.78,72.3625,-72.3625,-15.8792
split_cifar10,er_ewc,123,29.11,68.0125,-68.0125,-15.1792
split_cifar10,er_ewc,456,23.45,77.8,-77.8,-15.9792
split_cifar10,icarl,42,17.24,81.5625,-81.5625,-15.4667
split_cifar10,icarl,123,17.59,80.3625,-80.3625,-15.5917
split_cifar10,icarl,456,17.56,80.9625,-80.9625,-15.0417
split_cifar10,si_der,42,16.2,77.7625,-77.7625,-16.0417
split_cifar10,si_der,123,17.54,80.925,-80.925,-13.8917
split_cifar10,si_der,456,15.91,80.325,-80.325,-15.5667
split_cifar10,xder,42,16.72,79.95,-79.95,-16.0417
split_cifar10,xder,123,16.59,79.725,-79.725,-13.8917
split_cifar10,xder,456,15.28,80.075,-80.075,-15.5667
