dataset,method,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,er_ewc,42,23.37,75.0875,-75.0875,-15.8792
split_cifar10,er_ewc,123,28.67,69.95,-69.95,-15.1792
split_cifar10,er_ewc,456,25.25,74.5875,-74.5875,-15.9542
split_cifar10,er_ewc,789,27.54,70.5875,-70.5875,-15.6542
split_cifar10,er_ewc,1024,26.89,71.55,-71.55,-16.0417
split_cifar10,er_ewc,42,22.22,75.9375,-75.9375,-15.8792
split_cifar10,er_ewc,123,28.72,65.85,-65.85,-15.1792
split_cifar10,er_ewc,456,25.51,75.4,-75.4,-15.9667
split_cifar10,er_ewc,789,32.96,62.275,-62.275,-15.4292
split_cifar10,er_ewc,1024,28.6,68.775,-68.775,-16.0417
split_cifar10,er_ewc,42,28.49,68.5,-68.5,-15.8792
split_cifar10,er_ewc,123,27.52,67.175,-67.175,-15.1792
split_cifar10,er_ewc,456,26.23,72.725,-72.725,-15.9667
split_cifar10,er_ewc,789,32.01,65.4375,-65.4375,-15.6667
split_cifar10,er_ewc,1024,26.57,71.4,-71.4,-16.0417
split_cifar10,er_ewc,42,24.45,72.35,-72.35,-15.8792
split_cifar10,er_ewc,123,24.37,74.4875,-74.4875,-15.1792
split_cifar10,er_ewc,456,23.71,75.3,-75.3,-15.9792
split_cifar10,er_ewc,789,26.63,72.2125,-72.2125,-15.6667
split_cifar10,er_ewc,1024,26.49,67.7125,-67.7125,-16.0417
