dataset,method_variant,source,avg_accuracy_mean,avg_accuracy_std,avg_accuracy_count,forgetting_mean,forgetting_std,forgetting_count,backward_transfer_mean,backward_transfer_std,backward_transfer_count,forward_transfer_mean,forward_transfer_std,forward_transfer_count,avg_accuracy_mean_std,forgetting_mean_std,backward_transfer_mean_std,forward_transfer_mean_std
permuted_mnist,agem,baseline_fwt,39.552,1.547285041613214,3,2.2055666666666665,0.2544500016375189,3,15.893666666666666,1.6666486172355996,3,6.191866666666667,0.490412421675199,3,39.55 ± 1.55,2.21 ± 0.25,15.89 ± 1.67,6.19 ± 0.49
permuted_mnist,agem_distill,hybrid_fwt,41.7842,1.483092107726287,5,12.80976,1.2470247443415068,5,-12.637319999999999,1.08827804213813,5,6.694419999999999,1.2151912820622106,5,41.78 ± 1.48,12.81 ± 1.25,-12.64 ± 1.09,6.69 ± 1.22
permuted_mnist,agem_distill_nodistill,interaction_ablations,42.559333333333335,0.6743184213213603,3,12.1685,0.3813592925313348,3,-12.064433333333334,0.4581574219996156,3,6.029233333333333,1.01178299221391,3,42.56 ± 0.67,12.17 ± 0.38,-12.06 ± 0.46,6.03 ± 1.01
permuted_mnist,der,hybrid_fwt,60.766999999999996,2.3901451838748238,5,39.29600000000001,2.6976027997094008,5,-39.29600000000001,2.6976027997094008,5,1.9273399999999998,0.7672861643480873,5,60.77 ± 2.39,39.30 ± 2.70,-39.30 ± 2.70,1.93 ± 0.77
permuted_mnist,der_nodistill,interaction_ablations,27.378,1.047339963908567,3,75.63483333333333,1.141210683148965,3,-75.63483333333333,1.141210683148965,3,2.605566666666667,0.6032908115770812,3,27.38 ± 1.05,75.63 ± 1.14,-75.63 ± 1.14,2.61 ± 0.60
permuted_mnist,er_ewc,hybrid_fwt,42.754,8.124016371229198,5,55.88511999999999,8.166210286111914,5,-55.88511999999999,8.166210286111914,5,2.72956,0.42223393160663925,5,42.75 ± 8.12,55.89 ± 8.17,-55.89 ± 8.17,2.73 ± 0.42
permuted_mnist,er_ewc_noewc,interaction_ablations,48.20733333333333,1.7070003905486764,3,51.49076666666667,0.8975411318337067,3,-51.49076666666667,0.8975411318337067,3,3.0474,0.5763550294740214,3,48.21 ± 1.71,51.49 ± 0.90,-51.49 ± 0.90,3.05 ± 0.58
permuted_mnist,ewc,baseline_fwt,26.577333333333332,2.59942249996674,3,75.42406666666666,2.9836092645206285,3,-75.42406666666666,2.9836092645206285,3,1.1874,0.3387557969983687,3,26.58 ± 2.60,75.42 ± 2.98,-75.42 ± 2.98,1.19 ± 0.34
permuted_mnist,fine_tune,baseline_fwt,25.384999999999998,1.6689779806815912,5,77.49332,1.7802119500216829,5,-77.49332,1.7802119500216829,5,2.2613399999999997,0.6404737137463176,5,25.38 ± 1.67,77.49 ± 1.78,-77.49 ± 1.78,2.26 ± 0.64
permuted_mnist,icarl,hybrid_fwt,48.625600000000006,0.49335717284742264,5,50.24712,0.769678041131485,5,-50.24712,0.769678041131485,5,5.831799999999999,2.7184849006385887,5,48.63 ± 0.49,50.25 ± 0.77,-50.25 ± 0.77,5.83 ± 2.72
permuted_mnist,icarl_nonmc,interaction_ablations,45.86600000000001,2.817180682881383,3,53.79516666666666,3.2404032933160254,3,-53.79516666666666,3.2404032933160254,3,1.9552000000000003,0.8618671649390063,3,45.87 ± 2.82,53.80 ± 3.24,-53.80 ± 3.24,1.96 ± 0.86
permuted_mnist,joint_training,baseline_fwt,93.41466666666668,0.036501141534662204,3,0.6955666666666667,0.21460676441653306,3,-0.1815,0.20354481079113756,3,2.4548,0.4806183621128097,3,93.41 ± 0.04,0.70 ± 0.21,-0.18 ± 0.20,2.45 ± 0.48
permuted_mnist,lwf,baseline_fwt,33.838,1.8229954744869785,5,65.0669,1.91375778639827,5,-65.0669,1.91375778639827,5,0.50088,0.7379367059579026,5,33.84 ± 1.82,65.07 ± 1.91,-65.07 ± 1.91,0.50 ± 0.74
permuted_mnist,progress_compress,hybrid_fwt,26.9398,1.4012052669041741,5,76.43312,1.502350487402995,5,-76.43312,1.502350487402995,5,1.1262,0.4179818955409433,5,26.94 ± 1.40,76.43 ± 1.50,-76.43 ± 1.50,1.13 ± 0.42
permuted_mnist,si_der,hybrid_fwt,65.1348,2.0702861396435033,5,33.90688,2.309468578915939,5,-33.90688,2.309468578915939,5,1.9026400000000003,1.0028432444804123,5,65.13 ± 2.07,33.91 ± 2.31,-33.91 ± 2.31,1.90 ± 1.00
permuted_mnist,si_der_nosi,interaction_ablations,61.891333333333336,1.2834863977983273,3,38.00703333333333,1.4273884066130442,3,-38.00703333333333,1.4273884066130442,3,2.013733333333333,1.0671389850124176,3,61.89 ± 1.28,38.01 ± 1.43,-38.01 ± 1.43,2.01 ± 1.07
permuted_mnist,xder,hybrid_fwt,61.666399999999996,2.0210879001171635,5,38.264239999999994,2.2815094264543383,5,-38.264239999999994,2.2815094264543383,5,2.19134,0.6806611550544073,5,61.67 ± 2.02,38.26 ± 2.28,-38.26 ± 2.28,2.19 ± 0.68
permuted_mnist,xder_norevision,interaction_ablations,61.365,0.6499469209097002,3,38.585166666666666,0.8030817164730744,3,-38.585166666666666,0.8030817164730744,3,1.2981666666666667,0.5986772530615585,3,61.37 ± 0.65,38.59 ± 0.80,-38.59 ± 0.80,1.30 ± 0.60
split_cifar10,agem,baseline_fwt,24.444,1.976772622230488,5,13.492500000000001,3.3455964528018014,5,9.352500000000001,3.2944247411346343,5,-15.581700000000001,0.3668276161904929,5,24.44 ± 1.98,13.49 ± 3.35,9.35 ± 3.29,-15.58 ± 0.37
split_cifar10,agem_distill,hybrid_fwt,27.276,1.6545180567162145,5,30.952499999999997,2.331700693699773,5,-30.952499999999997,2.331700693699773,5,-15.7292,0.5099019513592784,5,27.28 ± 1.65,30.95 ± 2.33,-30.95 ± 2.33,-15.73 ± 0.51
split_cifar10,agem_distill_nodistill,interaction_ablations,26.30333333333333,1.3881762616228992,3,32.02916666666667,2.4891744782825764,3,-32.02916666666667,2.4891744782825764,3,-15.545866666666667,0.626539769953459,3,26.30 ± 1.39,32.03 ± 2.49,-32.03 ± 2.49,-15.55 ± 0.63
split_cifar10,der,hybrid_fwt,16.496000000000002,0.6656049879620792,5,79.61,1.6454815024788352,5,-79.61,1.6454815024788352,5,-15.436699999999998,0.8913472948295741,5,16.50 ± 0.67,79.61 ± 1.65,-79.61 ± 1.65,-15.44 ± 0.89
split_cifar10,der_nodistill,interaction_ablations,16.233333333333334,0.2797022226106435,3,80.05833333333334,0.22407216099581342,3,-80.05833333333334,0.22407216099581342,3,-15.270866666666668,0.0590726953281586,3,16.23 ± 0.28,80.06 ± 0.22,-80.06 ± 0.22,-15.27 ± 0.06
split_cifar10,er_ewc,hybrid_fwt,28.163999999999998,2.3234629327794303,5,69.0475,2.995679180085875,5,-69.0475,2.995679180085875,5,-15.746699999999999,0.34692848686725036,5,28.16 ± 2.32,69.05 ± 3.00,-69.05 ± 3.00,-15.75 ± 0.35
split_cifar10,er_ewc_noewc,interaction_ablations,25.78,2.959543883776688,3,72.72500000000001,4.903809106194896,3,-72.72500000000001,4.903809106194896,3,-15.6792,0.4358898943540685,3,25.78 ± 2.96,72.73 ± 4.90,-72.73 ± 4.90,-15.68 ± 0.44
split_cifar10,ewc,baseline_fwt,15.982,1.0887240238003402,5,80.4025,1.1946626092751078,5,-80.4025,1.1946626092751078,5,-15.581700000000001,0.3668276161904929,5,15.98 ± 1.09,80.40 ± 1.19,-80.40 ± 1.19,-15.58 ± 0.37
split_cifar10,fine_tune,baseline_fwt,15.978,1.1874636836552102,5,79.505,1.131253453033407,5,-79.505,1.131253453033407,5,-15.581700000000001,0.3668276161904929,5,15.98 ± 1.19,79.50 ± 1.13,-79.50 ± 1.13,-15.58 ± 0.37
split_cifar10,icarl,hybrid_fwt,16.95,0.7584853327520573,5,76.71000000000001,1.6784572529558237,5,-76.71000000000001,1.6784572529558237,5,-16.0417,0.0,5,16.95 ± 0.76,76.71 ± 1.68,-76.71 ± 1.68,-16.04 ± 0.00
split_cifar10,icarl_nonmc,interaction_ablations,17.463333333333335,0.19399312702602026,3,80.96249999999999,0.5999999999999979,3,-80.96249999999999,0.5999999999999979,3,-15.3667,0.2883140648667693,3,17.46 ± 0.19,80.96 ± 0.60,-80.96 ± 0.60,-15.37 ± 0.29
split_cifar10,joint_training,baseline_fwt,64.514,3.3693367299811388,5,10.14,1.3113506872686649,5,-8.7075,1.2170854016871617,5,-15.7917,0.2908769069555019,5,64.51 ± 3.37,10.14 ± 1.31,-8.71 ± 1.22,-15.79 ± 0.29
split_cifar10,lwf,baseline_fwt,16.156,1.1652810819712132,5,80.12,0.953185448902787,5,-80.12,0.953185448902787,5,-15.581700000000001,0.3668276161904929,5,16.16 ± 1.17,80.12 ± 0.95,-80.12 ± 0.95,-15.58 ± 0.37
