dataset,method_variant,source,avg_accuracy_mean_std,forgetting_mean_std,backward_transfer_mean_std,forward_transfer_mean_std,avg_accuracy_count,forgetting_count,backward_transfer_count,forward_transfer_count
permuted_mnist,agem,baseline_fwt,39.55 ± 1.55,2.21 ± 0.25,15.89 ± 1.67,6.19 ± 0.49,3,3,3,3
permuted_mnist,agem_distill,hybrid_fwt,41.78 ± 1.48,12.81 ± 1.25,-12.64 ± 1.09,6.69 ± 1.22,5,5,5,5
permuted_mnist,agem_distill_nodistill,interaction_ablations,42.56 ± 0.67,12.17 ± 0.38,-12.06 ± 0.46,6.03 ± 1.01,3,3,3,3
permuted_mnist,der,hybrid_fwt,60.77 ± 2.39,39.30 ± 2.70,-39.30 ± 2.70,1.93 ± 0.77,5,5,5,5
permuted_mnist,der_nodistill,interaction_ablations,27.38 ± 1.05,75.63 ± 1.14,-75.63 ± 1.14,2.61 ± 0.60,3,3,3,3
permuted_mnist,er_ewc,hybrid_fwt,42.75 ± 8.12,55.89 ± 8.17,-55.89 ± 8.17,2.73 ± 0.42,5,5,5,5
permuted_mnist,er_ewc_noewc,interaction_ablations,48.21 ± 1.71,51.49 ± 0.90,-51.49 ± 0.90,3.05 ± 0.58,3,3,3,3
permuted_mnist,ewc,baseline_fwt,26.58 ± 2.60,75.42 ± 2.98,-75.42 ± 2.98,1.19 ± 0.34,3,3,3,3
permuted_mnist,fine_tune,baseline_fwt,25.38 ± 1.67,77.49 ± 1.78,-77.49 ± 1.78,2.26 ± 0.64,5,5,5,5
permuted_mnist,icarl,hybrid_fwt,48.63 ± 0.49,50.25 ± 0.77,-50.25 ± 0.77,5.83 ± 2.72,5,5,5,5
permuted_mnist,icarl_nonmc,interaction_ablations,45.87 ± 2.82,53.80 ± 3.24,-53.80 ± 3.24,1.96 ± 0.86,3,3,3,3
permuted_mnist,joint_training,baseline_fwt,93.41 ± 0.04,0.70 ± 0.21,-0.18 ± 0.20,2.45 ± 0.48,3,3,3,3
permuted_mnist,lwf,baseline_fwt,33.84 ± 1.82,65.07 ± 1.91,-65.07 ± 1.91,0.50 ± 0.74,5,5,5,5
permuted_mnist,progress_compress,hybrid_fwt,26.94 ± 1.40,76.43 ± 1.50,-76.43 ± 1.50,1.13 ± 0.42,5,5,5,5
permuted_mnist,si_der,hybrid_fwt,65.13 ± 2.07,33.91 ± 2.31,-33.91 ± 2.31,1.90 ± 1.00,5,5,5,5
permuted_mnist,si_der_nosi,interaction_ablations,61.89 ± 1.28,38.01 ± 1.43,-38.01 ± 1.43,2.01 ± 1.07,3,3,3,3
permuted_mnist,xder,hybrid_fwt,61.67 ± 2.02,38.26 ± 2.28,-38.26 ± 2.28,2.19 ± 0.68,5,5,5,5
permuted_mnist,xder_norevision,interaction_ablations,61.37 ± 0.65,38.59 ± 0.80,-38.59 ± 0.80,1.30 ± 0.60,3,3,3,3
split_cifar10,agem,baseline_fwt,24.44 ± 1.98,13.49 ± 3.35,9.35 ± 3.29,-15.58 ± 0.37,5,5,5,5
split_cifar10,agem_distill,hybrid_fwt,27.28 ± 1.65,30.95 ± 2.33,-30.95 ± 2.33,-15.73 ± 0.51,5,5,5,5
split_cifar10,agem_distill_nodistill,interaction_ablations,26.30 ± 1.39,32.03 ± 2.49,-32.03 ± 2.49,-15.55 ± 0.63,3,3,3,3
split_cifar10,der,hybrid_fwt,16.50 ± 0.67,79.61 ± 1.65,-79.61 ± 1.65,-15.44 ± 0.89,5,5,5,5
split_cifar10,der_nodistill,interaction_ablations,16.23 ± 0.28,80.06 ± 0.22,-80.06 ± 0.22,-15.27 ± 0.06,3,3,3,3
split_cifar10,er_ewc,hybrid_fwt,28.16 ± 2.32,69.05 ± 3.00,-69.05 ± 3.00,-15.75 ± 0.35,5,5,5,5
split_cifar10,er_ewc_noewc,interaction_ablations,25.78 ± 2.96,72.73 ± 4.90,-72.73 ± 4.90,-15.68 ± 0.44,3,3,3,3
split_cifar10,ewc,baseline_fwt,15.98 ± 1.09,80.40 ± 1.19,-80.40 ± 1.19,-15.58 ± 0.37,5,5,5,5
split_cifar10,fine_tune,baseline_fwt,15.98 ± 1.19,79.50 ± 1.13,-79.50 ± 1.13,-15.58 ± 0.37,5,5,5,5
split_cifar10,icarl,hybrid_fwt,16.95 ± 0.76,76.71 ± 1.68,-76.71 ± 1.68,-16.04 ± 0.00,5,5,5,5
split_cifar10,icarl_nonmc,interaction_ablations,17.46 ± 0.19,80.96 ± 0.60,-80.96 ± 0.60,-15.37 ± 0.29,3,3,3,3
split_cifar10,joint_training,baseline_fwt,64.51 ± 3.37,10.14 ± 1.31,-8.71 ± 1.22,-15.79 ± 0.29,5,5,5,5
split_cifar10,lwf,baseline_fwt,16.16 ± 1.17,80.12 ± 0.95,-80.12 ± 0.95,-15.58 ± 0.37,5,5,5,5
split_cifar10,progress_compress,hybrid_fwt,18.51 ± 1.23,78.56 ± 2.12,-78.56 ± 2.12,-15.41 ± 0.91,5,5,5,5
split_cifar10,si_der,hybrid_fwt,16.33 ± 0.58,79.74 ± 1.10,-79.74 ± 1.10,-15.44 ± 0.89,5,5,5,5
split_cifar10,si_der_nosi,interaction_ablations,16.55 ± 0.87,79.67 ± 1.68,-79.67 ± 1.68,-15.17 ± 1.13,3,3,3,3
split_cifar10,xder,hybrid_fwt,19.45 ± 1.05,76.85 ± 1.91,-76.85 ± 1.91,-15.15 ± 1.09,5,5,5,5
split_cifar10,xder_norevision,interaction_ablations,16.20 ± 0.80,79.92 ± 0.18,-79.92 ± 0.18,-15.17 ± 1.13,3,3,3,3
split_cifar100,agem,baseline_fwt,4.32 ± 0.37,7.09 ± 0.65,1.99 ± 0.48,-2.73 ± 0.01,5,5,5,5
split_cifar100,agem_distill,hybrid_fwt,4.12 ± 0.65,20.30 ± 1.31,-20.28 ± 1.31,-2.73 ± 0.01,5,5,5,5
split_cifar100,der,hybrid_fwt,2.96 ± 0.25,45.81 ± 4.13,-45.81 ± 4.13,-2.72 ± 0.03,5,5,5,5
