dataset,method,metric,n,mean,std
permuted_mnist,agem,avg_accuracy,3,39.55199999999999,1.5472850416132125
permuted_mnist,agem,forgetting,3,2.2055666666666665,0.2544500016375188
permuted_mnist,agem,backward_transfer,3,15.893666666666666,1.666648617235599
permuted_mnist,agem,forward_transfer,3,6.191866666666667,0.49041242167519894
permuted_mnist,agem_distill,avg_accuracy,5,41.784200000000006,1.4830921077262882
permuted_mnist,agem_distill,forgetting,5,12.80976,1.2470247443415066
permuted_mnist,agem_distill,backward_transfer,5,-12.637319999999999,1.0882780421381297
permuted_mnist,agem_distill,forward_transfer,5,6.694419999999999,1.2151912820622108
permuted_mnist,der,avg_accuracy,5,60.76700000000001,2.3901451838748216
permuted_mnist,der,forgetting,5,39.29600000000001,2.6976027997094008
permuted_mnist,der,backward_transfer,5,-39.29600000000001,2.6976027997094008
permuted_mnist,der,forward_transfer,5,1.9273399999999998,0.7672861643480873
permuted_mnist,er_ewc,avg_accuracy,5,42.754000000000005,8.124016371229198
permuted_mnist,er_ewc,forgetting,5,55.88511999999999,8.166210286111914
permuted_mnist,er_ewc,backward_transfer,5,-55.88511999999999,8.166210286111914
permuted_mnist,er_ewc,forward_transfer,5,2.7295599999999998,0.4222339316066392
permuted_mnist,ewc,avg_accuracy,3,26.577333333333332,2.599422499966739
permuted_mnist,ewc,forgetting,3,75.42406666666666,2.983609264520633
permuted_mnist,ewc,backward_transfer,3,-75.42406666666666,2.983609264520633
permuted_mnist,ewc,forward_transfer,3,1.1874,0.3387557969983687
permuted_mnist,fine_tune,avg_accuracy,5,25.384999999999998,1.6689779806815908
permuted_mnist,fine_tune,forgetting,5,77.49332,1.7802119500216849
permuted_mnist,fine_tune,backward_transfer,5,-77.49332,1.7802119500216849
permuted_mnist,fine_tune,forward_transfer,5,2.26134,0.6404737137463176
permuted_mnist,icarl,avg_accuracy,5,48.625600000000006,0.49335717284742153
permuted_mnist,icarl,forgetting,5,50.247119999999995,0.7696780411314857
permuted_mnist,icarl,backward_transfer,5,-50.247119999999995,0.7696780411314857
permuted_mnist,icarl,forward_transfer,5,5.831799999999999,2.7184849006385887
permuted_mnist,joint_training,avg_accuracy,3,93.41466666666668,0.036501141534660386
permuted_mnist,joint_training,forgetting,3,0.6955666666666667,0.21460676441653312
permuted_mnist,joint_training,backward_transfer,3,-0.1815,0.2035448107911376
permuted_mnist,joint_training,forward_transfer,3,2.4548,0.4806183621128097
permuted_mnist,lwf,avg_accuracy,5,33.837999999999994,1.8229954744869779
permuted_mnist,lwf,forgetting,5,65.0669,1.9137577863982695
permuted_mnist,lwf,backward_transfer,5,-65.0669,1.9137577863982695
permuted_mnist,lwf,forward_transfer,5,0.50088,0.7379367059579026
permuted_mnist,progress_compress,avg_accuracy,5,26.939799999999998,1.4012052669041746
permuted_mnist,progress_compress,forgetting,5,76.43312,1.5023504874029912
permuted_mnist,progress_compress,backward_transfer,5,-76.43312,1.5023504874029912
permuted_mnist,progress_compress,forward_transfer,5,1.1262,0.4179818955409433
permuted_mnist,si_der,avg_accuracy,5,65.1348,2.070286139643504
permuted_mnist,si_der,forgetting,5,33.90688,2.309468578915939
permuted_mnist,si_der,backward_transfer,5,-33.90688,2.309468578915939
permuted_mnist,si_der,forward_transfer,5,1.9026400000000003,1.0028432444804123
permuted_mnist,xder,avg_accuracy,5,61.666399999999996,2.0210879001171627
permuted_mnist,xder,forgetting,5,38.264239999999994,2.281509426454338
permuted_mnist,xder,backward_transfer,5,-38.264239999999994,2.281509426454338
permuted_mnist,xder,forward_transfer,5,2.19134,0.6806611550544073
split_cifar10,agem,avg_accuracy,5,24.444,1.9767726222304884
split_cifar10,agem,forgetting,5,13.492500000000001,3.345596452801801
split_cifar10,agem,backward_transfer,5,9.3525,3.2944247411346343
split_cifar10,agem,forward_transfer,5,-15.581700000000001,0.3668276161904935
split_cifar10,agem_distill,avg_accuracy,5,27.276,1.6545180567162145
split_cifar10,agem_distill,forgetting,5,30.952499999999997,2.3317006936997724
split_cifar10,agem_distill,backward_transfer,5,-30.952499999999997,2.3317006936997724
split_cifar10,agem_distill,forward_transfer,5,-15.7292,0.5099019513592783
split_cifar10,der,avg_accuracy,5,16.496000000000002,0.6656049879620793
