dataset,method,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem,123,38.102,1.9511,13.9944,6.7033
permuted_mnist,agem,789,41.181,2.2056,17.1122,6.1467
permuted_mnist,agem,1024,39.373,2.46,16.5744,5.7256
permuted_mnist,ewc,42,25.256,77.14,-77.14,0.7989
permuted_mnist,ewc,456,24.904,77.1533,-77.1533,1.4211
permuted_mnist,ewc,789,29.572,71.9789,-71.9789,1.3422
permuted_mnist,fine_tune,42,24.993,78.0933,-78.0933,1.3656
permuted_mnist,fine_tune,123,26.23,76.4233,-76.4233,2.5322
permuted_mnist,fine_tune,456,27.799,74.9922,-74.9922,3.1178
permuted_mnist,fine_tune,789,24.362,78.4778,-78.4778,2.1944
permuted_mnist,fine_tune,1024,23.541,79.48,-79.48,2.0967
permuted_mnist,joint_training,123,93.441,0.4478,0.0522,3.0044
permuted_mnist,joint_training,456,93.373,0.8233,-0.32,2.2467
permuted_mnist,joint_training,1024,93.43,0.8156,-0.2767,2.1133
permuted_mnist,lwf,42,33.405,64.8711,-64.8711,-0.1611
permuted_mnist,lwf,123,32.992,65.6189,-65.6189,1.5589
permuted_mnist,lwf,456,36.408,62.2656,-62.2656,0.03
permuted_mnist,lwf,789,31.619,67.6067,-67.6067,0.9833
permuted_mnist,lwf,1024,34.766,64.9722,-64.9722,0.0933
split_cifar10,agem,42,24.68,14.275,9.0375,-15.4667
split_cifar10,agem,123,27.79,10.3625,15.1125,-15.5917
split_cifar10,agem,456,23.4,9.7375,7.4625,-15.0417
split_cifar10,agem,789,23.36,15.6375,7.925,-15.7917
split_cifar10,agem,1024,22.99,17.45,7.225,-16.0167
split_cifar10,ewc,42,14.1,80.025,-80.025,-15.4667
split_cifar10,ewc,123,16.06,78.55,-78.55,-15.5917
split_cifar10,ewc,456,16.48,81.65,-81.65,-15.0417
split_cifar10,ewc,789,16.42,80.675,-80.675,-15.7917
split_cifar10,ewc,1024,16.85,81.1125,-81.1125,-16.0167
split_cifar10,fine_tune,42,16.1,79.4625,-79.4625,-15.4667
split_cifar10,fine_tune,123,16.71,77.5625,-77.5625,-15.5917
split_cifar10,fine_tune,456,16.39,80.025,-80.025,-15.0417
split_cifar10,fine_tune,789,16.78,80.225,-80.225,-15.7917
split_cifar10,fine_tune,1024,13.91,80.25,-80.25,-16.0167
split_cifar10,joint_training,42,64.17,9.7625,-8.2875,-15.9792
split_cifar10,joint_training,123,63.95,11.875,-9.825,-15.3792
split_cifar10,joint_training,456,66.1,10.15,-7.1125,-15.5917
split_cifar10,joint_training,789,68.77,8.275,-8.275,-15.9667
split_cifar10,joint_training,1024,59.58,10.6375,-10.0375,-16.0417
split_cifar10,lwf,42,17.14,80.3125,-80.3125,-15.4667
split_cifar10,lwf,123,17.2,78.5375,-78.5375,-15.5917
split_cifar10,lwf,456,15.44,80.6625,-80.6625,-15.0417
split_cifar10,lwf,789,14.5,81.0125,-81.0125,-15.7917
split_cifar10,lwf,1024,16.5,80.075,-80.075,-16.0167
split_cifar100,agem,42,4.47,7.5474,2.0421,-2.7345
split_cifar100,agem,123,3.88,6.3474,1.8842,-2.7345
split_cifar100,agem,456,4.19,7.6211,1.6632,-2.7134
split_cifar100,agem,789,4.87,7.5263,2.7895,-2.7345
split_cifar100,agem,1024,4.18,6.4316,1.5789,-2.7345
split_cifar100,ewc,42,2.0,31.1368,-31.1368,-2.7345
split_cifar100,ewc,123,2.87,35.1263,-35.1263,-2.7345
split_cifar100,ewc,456,1.57,33.7474,-33.7474,-2.7345
split_cifar100,ewc,789,2.19,38.0842,-38.0842,-2.7345
split_cifar100,ewc,1024,1.65,38.5789,-38.5789,-2.7345
split_cifar100,fine_tune,42,2.4,38.2526,-38.2526,-2.7345
split_cifar100,fine_tune,123,3.07,35.3474,-35.3474,-2.7345
split_cifar100,fine_tune,456,1.47,32.4316,-32.4316,-2.7345
split_cifar100,fine_tune,789,2.19,40.4316,-40.4316,-2.7345
split_cifar100,fine_tune,1024,1.47,40.4632,-40.4632,-2.7345
split_cifar100,joint_training,42,48.04,4.3474,13.8316,-2.7345
split_cifar100,joint_training,123,45.01,6.5474,9.6526,-2.7345
split_cifar100,joint_training,456,47.87,5.2947,10.6,-2.7345
split_cifar100,joint_training,789,45.75,5.8421,11.8211,-2.7345
split_cifar100,joint_training,1024,48.53,4.5895,14.7158,-2.7345
split_cifar100,lwf,42,2.71,44.8842,-44.8842,-2.7345
split_cifar100,lwf,123,2.17,39.2,-39.2,-2.7345
split_cifar100,lwf,456,2.56,42.2211,-42.2211,-2.7345
split_cifar100,lwf,789,2.38,33.7263,-33.7263,-2.7345
split_cifar100,lwf,1024,2.54,43.6,-43.6,-2.7345
