dataset,method,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem_distill,1024,39.321,14.9644,-14.46,8.2122
permuted_mnist,agem_distill,123,41.99,12.5911,-12.5911,5.9411
permuted_mnist,agem_distill,42,43.304,11.85,-11.7578,7.0822
permuted_mnist,agem_distill,456,42.384,12.0644,-11.8444,5.0644
permuted_mnist,agem_distill,789,41.922,12.5789,-12.5333,7.1722
permuted_mnist,der,1024,61.325,38.7222,-38.7222,1.6944
permuted_mnist,der,123,63.308,36.4433,-36.4433,0.9978
permuted_mnist,der,42,61.56,38.3378,-38.3378,3.1256
permuted_mnist,der,456,60.806,39.24,-39.24,1.9178
permuted_mnist,der,789,56.836,43.7367,-43.7367,1.9011
permuted_mnist,er_ewc,1024,46.161,53.0856,-53.0856,2.71
permuted_mnist,er_ewc,123,35.668,61.9133,-61.9133,2.1422
permuted_mnist,er_ewc,42,32.501,66.8922,-66.8922,2.5389
permuted_mnist,er_ewc,456,49.669,48.5578,-48.5578,3.21
permuted_mnist,er_ewc,789,49.771,48.9767,-48.9767,3.0467
permuted_mnist,icarl,1024,49.337,50.09,-50.09,4.2256
permuted_mnist,icarl,123,48.659,50.92,-50.92,2.37
permuted_mnist,icarl,42,48.39,50.9522,-50.9522,5.4767
permuted_mnist,icarl,456,48.746,49.0667,-49.0667,8.2556
permuted_mnist,icarl,789,47.996,50.2067,-50.2067,8.8311
permuted_mnist,progress_compress,1024,28.554,74.7567,-74.7567,0.9044
permuted_mnist,progress_compress,123,28.21,74.9822,-74.9822,1.5233
permuted_mnist,progress_compress,42,25.422,78.09,-78.09,1.2244
permuted_mnist,progress_compress,456,25.811,77.5467,-77.5467,0.5178
permuted_mnist,progress_compress,789,26.702,76.79,-76.79,1.4611
permuted_mnist,si_der,1024,65.397,33.6144,-33.6144,2.2633
permuted_mnist,si_der,123,65.498,33.41,-33.41,0.5822
permuted_mnist,si_der,42,66.69,32.3067,-32.3067,3.0122
permuted_mnist,si_der,456,66.509,32.31,-32.31,1.1544
permuted_mnist,si_der,789,61.58,37.8933,-37.8933,2.5011
permuted_mnist,xder,1024,61.328,38.5678,-38.5678,2.78
permuted_mnist,xder,123,62.356,37.5089,-37.5089,1.0478
permuted_mnist,xder,42,64.697,34.8578,-34.8578,2.6278
permuted_mnist,xder,456,60.626,39.4478,-39.4478,2.2778
permuted_mnist,xder,789,59.325,40.9389,-40.9389,2.2233
split_cifar100,agem_distill,1024,5.12,20.4632,-20.3684,-2.7345
split_cifar100,agem_distill,123,3.39,18.4947,-18.4947,-2.7134
split_cifar100,agem_distill,42,3.82,21.7474,-21.7474,-2.7345
split_cifar100,agem_distill,456,4.28,19.5474,-19.5474,-2.7345
split_cifar100,agem_distill,789,3.98,21.2526,-21.2526,-2.7345
split_cifar100,der,1024,2.75,42.5684,-42.5684,-2.7345
split_cifar100,der,123,3.29,50.5474,-50.5474,-2.7239
split_cifar100,der,42,3.07,43.6737,-43.6737,-2.7345
split_cifar100,der,456,3.03,42.2105,-42.2105,-2.7239
split_cifar100,der,789,2.68,50.0421,-50.0421,-2.6713
split_cifar100,er_ewc,1024,4.15,57.0737,-57.0737,-2.7345
split_cifar100,er_ewc,123,3.47,59.3789,-59.3789,-2.7345
split_cifar100,er_ewc,42,4.31,59.7158,-59.7158,-2.7345
split_cifar100,er_ewc,456,4.25,61.1368,-61.1368,-2.7345
split_cifar100,er_ewc,789,4.15,57.9474,-57.9474,-2.7345
split_cifar100,icarl,1024,2.63,44.1895,-44.1895,-2.7345
split_cifar100,icarl,123,2.93,44.1474,-44.1474,-2.7345
split_cifar100,icarl,42,3.07,43.9158,-43.9158,-2.7345
split_cifar100,icarl,456,2.92,45.2737,-45.2737,-2.7345
split_cifar100,icarl,789,3.14,46.6,-46.6,-2.7345
split_cifar100,progress_compress,1024,3.85,52.5158,-52.5158,-2.7345
split_cifar100,progress_compress,123,3.4,52.0526,-52.0526,-2.7345
split_cifar100,progress_compress,42,3.55,51.3158,-51.3158,-2.6924
split_cifar100,progress_compress,456,3.51,51.9158,-51.9158,-2.7239
split_cifar100,progress_compress,789,3.92,55.3789,-55.3789,-2.7345
split_cifar100,si_der,1024,2.71,42.8737,-42.8737,-2.7345
split_cifar100,si_der,123,3.04,47.0316,-47.0316,-2.7239
split_cifar100,si_der,42,2.7,45.0211,-45.0211,-2.7345
split_cifar100,si_der,456,2.5,43.6421,-43.6421,-2.7239
split_cifar100,si_der,789,2.82,47.0,-47.0,-2.6713
split_cifar100,xder,1024,2.76,44.4526,-44.4526,-2.7345
split_cifar100,xder,123,1.0,38.3684,-38.3684,-2.7029
split_cifar100,xder,42,1.0,33.8632,-33.8632,-2.7345
split_cifar100,xder,456,1.0,21.3789,-21.3789,-2.7345
split_cifar100,xder,789,2.5,42.4947,-42.4947,-2.7029
split_cifar10,agem_distill,1024,28.73,28.7625,-28.7625,-16.0417
split_cifar10,agem_distill,123,27.84,29.175,-29.175,-14.8417
split_cifar10,agem_distill,42,25.93,33.75,-33.75,-16.0417
split_cifar10,agem_distill,456,25.14,33.1625,-33.1625,-15.7542
split_cifar10,agem_distill,789,28.74,29.9125,-29.9125,-15.9667
split_cifar10,der,1024,16.07,81.125,-81.125,-16.0417
split_cifar10,der,123,17.54,80.925,-80.925,-13.8917
split_cifar10,der,42,16.2,77.7625,-77.7625,-16.0417
split_cifar10,der,456,15.91,80.325,-80.325,-15.5667
split_cifar10,der,789,16.76,77.9125,-77.9125,-15.6417
split_cifar10,er_ewc,1024,26.57,71.4,-71.4,-16.0417
split_cifar10,er_ewc,123,27.52,67.175,-67.175,-15.1792
split_cifar10,er_ewc,42,28.49,68.5,-68.5,-15.8792
split_cifar10,er_ewc,456,26.23,72.725,-72.725,-15.9667
split_cifar10,er_ewc,789,32.01,65.4375,-65.4375,-15.6667
split_cifar10,icarl,1024,17.88,79.3125,-79.3125,-16.0417
split_cifar10,icarl,123,17.67,76.4125,-76.4125,-16.0417
split_cifar10,icarl,42,16.46,76.3875,-76.3875,-16.0417
split_cifar10,icarl,456,16.42,76.8,-76.8,-16.0417
split_cifar10,icarl,789,16.32,74.6375,-74.6375,-16.0417
split_cifar10,progress_compress,1024,17.9,80.5,-80.5,-15.6292
split_cifar10,progress_compress,123,20.65,75.4125,-75.4125,-13.8042
split_cifar10,progress_compress,42,17.66,80.0,-80.0,-15.8792
split_cifar10,progress_compress,456,17.93,79.5,-79.5,-15.9292
split_cifar10,progress_compress,789,18.4,77.375,-77.375,-15.8167
split_cifar10,si_der,1024,15.63,81.1375,-81.1375,-16.0417
split_cifar10,si_der,123,16.21,80.075,-80.075,-13.8917
split_cifar10,si_der,42,16.05,78.4625,-78.4625,-16.0417
split_cifar10,si_der,456,16.61,80.225,-80.225,-15.5667
split_cifar10,si_der,789,17.16,78.8,-78.8,-15.6417
split_cifar10,xder,1024,19.76,77.775,-77.775,-16.0417
split_cifar10,xder,123,19.44,74.725,-74.725,-14.4417
split_cifar10,xder,42,20.96,75.125,-75.125,-16.0417
split_cifar10,xder,456,18.99,77.325,-77.325,-13.5917
split_cifar10,xder,789,18.1,79.3125,-79.3125,-15.6292
